beta[2],beta[3],progress[1],progress[2],progress[3]
1.022990,1.022990,0.193481,1.000000,0.357912
1.129069,1.129069,0.167219,1.000000,0.452795
1.041802,1.041802,0.180912,1.000000,0.397493
1.225997,1.225997,0.188255,1.000000,0.454272
1.020401,1.020401,0.185829,1.000000,0.435786
1.003632,1.003632,0.181406,1.000000,0.426711
1.202027,1.202027,0.180321,1.000000,0.451034
1.052101,1.052101,0.183226,1.000000,0.389420
0.891477,0.891477,0.174275,1.000000,0.336022
1.095362,1.095362,0.190922,1.000000,0.481181
0.908389,0.908389,0.195507,1.000000,0.354394
1.285745,1.285745,0.189759,1.000000,0.478042
1.232118,1.232118,0.169427,1.000000,0.494223
1.078866,1.078866,0.188116,1.000000,0.442478
1.183310,1.183310,0.172618,1.000000,0.437406
0.974385,0.974385,0.198194,1.000000,0.343053
0.942805,0.942805,0.186924,1.000000,0.378065
1.016825,1.016825,0.181425,1.000000,0.441795
1.015794,1.015794,0.166809,1.000000,0.357402
0.940863,0.940863,0.190477,1.000000,0.360827
