beta[2],beta[3],progress[1],progress[2],progress[3]
1.526440,1.526440,0.174295,1.000000,0.821290
0.971894,0.971894,0.224395,1.000000,0.350178
1.228636,1.228636,0.240675,1.000000,0.551643
0.749912,0.749912,0.196605,1.000000,0.411126
1.081047,1.081047,0.171956,1.000000,0.503589
1.163272,1.163272,0.182351,1.000000,0.447867
1.351737,1.351737,0.206486,1.000000,0.953385
0.758801,0.758801,0.194733,1.000000,0.339715
1.204154,1.204154,0.185180,1.000000,0.714242
1.663167,1.663167,0.240337,1.000000,0.716299
0.957207,0.957207,0.201418,1.000000,0.366836
1.314985,1.314985,0.203066,1.000000,0.758087
1.445460,1.445460,0.167467,1.000000,0.606970
0.972866,0.972866,0.232752,1.000000,0.523177
1.454788,1.454788,0.180533,1.000000,0.671534
0.949701,0.949701,0.177016,1.000000,0.474446
0.917227,0.917227,0.187143,1.000000,0.567090
0.865863,0.865863,0.212713,1.000000,0.471151
1.181638,1.181638,0.209240,1.000000,0.428440
0.904505,0.904505,0.248320,1.000000,0.406297
0.835115,0.835115,0.170239,1.000000,0.356131
0.958650,0.958650,0.190127,1.000000,0.382990
1.572429,1.572429,0.229339,1.000000,0.914368
1.410825,1.410825,0.216905,1.000000,0.617249
0.747963,0.747963,0.222911,1.000000,0.395117
