incubation_time,infectious_time,r_zero
4.000000,2.000000,2.500000
5.000000,2.000000,2.500000
6.000000,2.000000,2.500000
4.000000,3.000000,2.500000
5.000000,3.000000,2.500000
6.000000,3.000000,2.500000
4.000000,4.000000,2.500000
5.000000,4.000000,2.500000
6.000000,4.000000,2.500000
4.000000,2.000000,3.250000
5.000000,2.000000,3.250000
6.000000,2.000000,3.250000
4.000000,3.000000,3.250000
5.000000,3.000000,3.250000
6.000000,3.000000,3.250000
4.000000,4.000000,3.250000
5.000000,4.000000,3.250000
6.000000,4.000000,3.250000
4.000000,2.000000,4.000000
5.000000,2.000000,4.000000
6.000000,2.000000,4.000000
4.000000,3.000000,4.000000
5.000000,3.000000,4.000000
6.000000,3.000000,4.000000
4.000000,4.000000,4.000000
5.000000,4.000000,4.000000
6.000000,4.000000,4.000000
