beta[2],beta[3],progress[1],progress[2],progress[3]
1.250000,1.250000,0.250000,1.000000,1.000000
1.250000,1.250000,0.200000,1.000000,1.000000
1.250000,1.250000,0.166667,1.000000,1.000000
0.833333,0.833333,0.250000,1.000000,0.500000
0.833333,0.833333,0.200000,1.000000,0.500000
0.833333,0.833333,0.166667,1.000000,0.500000
0.625000,0.625000,0.250000,1.000000,0.333333
0.625000,0.625000,0.200000,1.000000,0.333333
0.625000,0.625000,0.166667,1.000000,0.333333
1.625000,1.625000,0.250000,1.000000,1.000000
1.625000,1.625000,0.200000,1.000000,1.000000
1.625000,1.625000,0.166667,1.000000,1.000000
1.083333,1.083333,0.250000,1.000000,0.500000
1.083333,1.083333,0.200000,1.000000,0.500000
1.083333,1.083333,0.166667,1.000000,0.500000
0.812500,0.812500,0.250000,1.000000,0.333333
0.812500,0.812500,0.200000,1.000000,0.333333
0.812500,0.812500,0.166667,1.000000,0.333333
2.000000,2.000000,0.250000,1.000000,1.000000
2.000000,2.000000,0.200000,1.000000,1.000000
2.000000,2.000000,0.166667,1.000000,1.000000
1.333333,1.333333,0.250000,1.000000,0.500000
1.333333,1.333333,0.200000,1.000000,0.500000
1.333333,1.333333,0.166667,1.000000,0.500000
1.000000,1.000000,0.250000,1.000000,0.333333
1.000000,1.000000,0.200000,1.000000,0.333333
1.000000,1.000000,0.166667,1.000000,0.333333
