incubation_time,infectious_time,r_zero
4.978494,2.556493,2.952444
4.376206,3.821151,3.947483
4.417363,2.083093,3.376297
4.508538,3.197575,3.360757
5.937208,3.668176,3.818063
4.813082,2.719507,3.920540
5.763459,2.606587,2.718166
5.611290,3.549126,3.021864
5.865952,2.352358,3.072161
5.734794,2.277215,2.640502
4.213890,2.800992,3.146404
5.828124,2.878317,3.126897
5.369648,2.726003,3.679478
4.306721,2.920832,2.653700
5.024242,2.796737,2.894177
5.123674,3.412185,2.863965
5.964526,3.321400,3.607102
4.762082,3.947358,2.603335
5.528328,2.649716,3.721495
5.257017,2.593126,2.744506
5.229512,2.306297,3.436104
4.040439,3.761145,3.494576
5.493880,3.995939,3.201553
4.690946,3.508726,3.575627
5.289983,3.895369,2.939052
4.553582,3.236501,2.844523
4.478381,2.133595,3.628480
4.618714,3.056800,3.067758
4.857308,2.975561,3.529389
5.346191,2.460206,3.251373
4.196175,3.716160,2.707214
5.716915,3.263130,3.978533
5.420379,2.022190,3.476852
4.758616,2.063519,3.756940
4.948979,3.479839,3.405559
4.035715,3.009165,3.289677
5.474047,2.365828,3.230359
5.076615,2.484934,3.661821
5.163560,3.859533,2.523692
4.355668,3.585866,2.808803
4.566167,3.114550,3.332495
4.884731,3.375771,3.764852
5.574591,2.413032,2.989081
5.664090,3.616381,2.568269
5.095806,2.189589,3.828862
4.244923,3.748557,3.874967
4.656453,2.915195,3.166144
5.883751,3.123107,3.904181
4.120980,3.308780,2.532028
4.116404,2.222125,2.782286
