beta[2],beta[3],progress[1],progress[2],progress[3]
1.154881,1.154881,0.200864,1.000000,0.642470
1.033061,1.033061,0.228508,1.000000,0.354465
1.620810,1.620810,0.226379,1.000000,0.923282
1.051033,1.051033,0.221801,1.000000,0.455047
1.040861,1.040861,0.168429,1.000000,0.374788
1.441636,1.441636,0.207767,1.000000,0.581562
1.042807,1.042807,0.173507,1.000000,0.622437
0.851439,0.851439,0.178212,1.000000,0.392291
1.305992,1.305992,0.170475,1.000000,0.739449
1.159531,1.159531,0.174374,1.000000,0.782954
1.123318,1.123318,0.237310,1.000000,0.555250
1.086363,1.086363,0.171582,1.000000,0.532391
1.349770,1.349770,0.186232,1.000000,0.579373
0.908543,0.908543,0.232195,1.000000,0.520608
1.034841,1.034841,0.199035,1.000000,0.556565
0.839335,0.839335,0.195172,1.000000,0.414562
1.086018,1.086018,0.167658,1.000000,0.430775
0.659513,0.659513,0.209992,1.000000,0.339287
1.404488,1.404488,0.180887,1.000000,0.606165
1.058377,1.058377,0.190222,1.000000,0.627697
1.489879,1.489879,0.191222,1.000000,0.765523
0.929125,0.929125,0.247498,1.000000,0.362169
0.801202,0.801202,0.182021,1.000000,0.333785
1.019067,1.019067,0.213177,1.000000,0.398609
0.754499,0.754499,0.189037,1.000000,0.345379
0.878888,0.878888,0.219607,1.000000,0.447127
1.700642,1.700642,0.223295,1.000000,0.882149
1.003585,1.003585,0.216510,1.000000,0.486192
1.186126,1.186126,0.205875,1.000000,0.506185
1.321586,1.321586,0.187049,1.000000,0.684835
0.728498,0.728498,0.238312,1.000000,0.368167
1.219238,1.219238,0.174920,1.000000,0.441866
1.719350,1.719350,0.184489,1.000000,0.978291
1.820647,1.820647,0.210145,1.000000,0.940275
0.978654,0.978654,0.202062,1.000000,0.403252
1.093219,1.093219,0.247788,1.000000,0.497719
1.365424,1.365424,0.182680,1.000000,0.732157
1.473609,1.473609,0.196982,1.000000,0.673431
0.653885,0.653885,0.193665,1.000000,0.349707
0.783299,0.783299,0.229586,1.000000,0.386718
1.069976,1.069976,0.219002,1.000000,0.472914
1.115257,1.115257,0.204720,1.000000,0.420916
1.238724,1.238724,0.179385,1.000000,0.707698
0.710177,0.710177,0.176551,1.000000,0.382207
1.748667,1.748667,0.196240,1.000000,0.840626
1.033722,1.033722,0.235576,1.000000,0.363827
1.086083,1.086083,0.214756,1.000000,0.522140
1.250095,1.250095,0.169960,1.000000,0.471008
0.765245,0.765245,0.242661,1.000000,0.433129
1.252083,1.252083,0.242930,1.000000,0.818247
